,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans
107,nm0000709,7,2.7887376239071946,Robert Zemeckis,writer,0.45,2.7441850488939448,0.05953265274957228,0.7913345884130141,0
108,nm0000720,5,6.7169133412008275,Jim Abrahams,writer,0.83,1.6814419331251271,0.5704175100165483,1.386936457822768,3
109,nm0000725,1,0.019908666666666668,Joey Lauren Adams,writer,-1.7,-0.44404429841250825,-0.30057160134196087,-2.5785180937737526,1
110,nm0000735,1,0.8735187666666666,Brian Aldiss,writer,-0.06,-0.44404429841250825,-0.18955404370566367,-0.008025815268498116,1
111,nm0000740,1,0.8639703625,Irwin Allen,writer,-0.07,-0.44404429841250825,-0.19079587590740024,-0.023699548674017978,1
112,nm0000759,8,0.8214458294087837,Paul Thomas Anderson,writer,-0.09,3.2755566067783533,-0.19632646862579795,-0.05504701548505765,0
113,nm0000780,1,1.708995,Denys Arcand,writer,0.23,-0.44404429841250825,-0.08089491363229663,0.4465124534915774,1
114,nm0000783,2,0.08151002222222223,Dario Argento,writer,-1.1,0.08732725947190056,-0.29255994351262765,-1.6380940894425622,1
115,nm0000801,1,0.20393671875,Olivier Assayas,writer,-0.7,-0.44404429841250825,-0.27663755360886005,-1.0111447532217681,1
116,nm0000807,8,2.026070882908229,Jane Austen,writer,0.31,3.2755566067783533,-0.03965712824779364,0.5719023207357361,0
117,nm0000812,5,3.7944928000000004,Roger Avary,writer,0.58,1.6814419331251271,0.19033766926693463,0.9950931226847719,3
118,nm0000837,1,2.2949230555555555,Bob Balaban,writer,0.36,-0.44404429841250825,-0.004691150721850236,0.6502709877633354,1
119,nm0000850,2,7.2847922,Clive Barker,writer,0.86,0.08732725947190056,0.6442738572378052,1.4339576580393276,6
120,nm0000875,4,2.8368305716067166,L. Frank Baum,writer,0.45,1.1500703752407182,0.0657874540846679,0.7913345884130141,3
121,nm0000876,6,2.1638500377939534,Noah Baumbach,writer,0.33,2.212813491009536,-0.021738051061843962,0.6032497875467758,0
122,nm0000886,5,1.961749469807144,Warren Beatty,writer,0.29,1.6814419331251271,-0.04802254729121614,0.5405548539246964,3
123,nm0000905,1,2.8781632,Roberto Benigni,writer,0.46,-0.44404429841250825,0.07116303182784478,0.807008321818534,1
124,nm0000916,5,1.5799823126666666,Peter Berg,writer,0.2,1.6814419331251271,-0.09767385457013458,0.39949125327501783,3
125,nm0000921,2,23.334301853076923,Andrew Bergman,writer,1.37,0.08732725947190056,2.731617203977465,2.23331806172084,6
126,nm0000929,1,0.0392,Corbin Bernsen,writer,-1.4,-0.44404429841250825,-0.29806263769425523,-2.1083060916081573,1
127,nm0000934,2,1.0388792666666666,Bernardo Bertolucci,writer,0.02,0.08732725947190056,-0.16804783280268007,0.11736405197566065,1
128,nm0000940,1,0.0244465,Bigas Luna,writer,-1.7,-0.44404429841250825,-0.2999814265377649,-2.5785180937737526,1
129,nm0000948,9,1.5722367538665691,Shane Black,writer,0.2,3.806928164662762,-0.0986812149803677,0.39949125327501783,0
130,nm0000957,1,0.4418915090909091,Jan de Bont,writer,-0.36,-0.44404429841250825,-0.24568998205188705,-0.4782378174340935,1
131,nm0000958,1,0.7627634444444444,John Boorman,writer,-0.12,-0.44404429841250825,-0.20395849530286506,-0.10206821570161718,1
132,nm0000965,1,1.018623888888889,Danny Boyle,writer,0.01,-0.44404429841250825,-0.17068217671436692,0.10169031857014078,1
133,nm0000976,1,0.11273225925925925,Martin Brest,writer,-0.96,-0.44404429841250825,-0.2884992880684226,-1.4186618217652842,1
