,Unnamed: 0.1,Unnamed: 0,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,avg_budget,avg_budget_T,cluster
583,583,583,nm0163706,4,9.193218066346152,Bob Clark,director,0.96,0.7457226732655758,0.44604589317453297,1.4852465145466098,0,19727045.817491606,-0.4624420543618137,1
584,584,584,nm0163988,1,0.8607544117647059,Clark Gregg,director,-0.07,-0.5204078941289055,-0.1629944061467245,-0.025245717301827827,1,4966184.001799364,-0.7689792886917656,1
585,585,585,nm0164187,2,2.585217476190476,Larry Clark,director,0.41,-0.09836437166407844,-0.03694915177002472,0.6786729926857937,1,3327518.85063141,-0.8030092721509895,1
586,586,586,nm0166256,3,1.0114807998412698,Ron Clements,director,0.0,0.3236791508007487,-0.1519774430593081,0.077409094571367,0,169962233.80825508,2.6574759829963113,2
587,587,587,nm0169486,1,0.16748,Jem Cohen,director,-0.77,-0.5204078941289055,-0.21366754109892908,-1.051793836033776,1,64917.70909459794,-0.8707633601667193,1
588,588,588,nm0169680,1,1.386662,Peter M. Cohen,director,0.14,-0.5204078941289055,-0.12455452471045399,0.28271871831775663,1,5299837.1546875555,-0.7620503494476434,1
589,589,589,nm0169806,5,1.652111418126984,Taika Waititi,director,0.22,1.1677661957304029,-0.1051521726843733,0.4000385033156935,0,102519028.98968111,1.256890181328836,2
590,590,590,nm0169874,1,1.0760675714285717,Alan Cohn,director,0.03,-0.5204078941289055,-0.14725663678515222,0.12140401394559334,1,26263964.867613655,-0.32669055748559855,1
591,591,591,nm0170043,1,0.1603792,Isabel Coixet,director,-0.8,-0.5204078941289055,-0.21418655606697426,-1.0957887554080024,1,4165944.0297846217,-0.7855977863706,1
592,592,592,nm0170113,1,0.3060858,Harley Cokeliss,director,-0.51,-0.5204078941289055,-0.2035365016586013,-0.6705045347904809,1,26609308.904420998,-0.3195188349088907,1
593,593,593,nm0170719,4,1.78989407125,Nigel Cole,director,0.25,0.7457226732655758,-0.0950812990774804,0.44403342268991985,0,18485631.165943082,-0.4882223792977069,1
594,594,594,nm0172877,1,0.099588,Laurie Collyer,director,-1.0,-0.5204078941289055,-0.21862993466170014,-1.3890882179028445,1,3044098.4373053014,-0.8088950334797268,1
595,595,595,nm0174374,7,1.4781525920639802,Bill Condon,director,0.17,2.011853240660057,-0.11786725190787918,0.32671363769198297,5,77188686.41631337,0.7308576736052181,3
596,596,596,nm0175305,1,0.4343227,Kevin Connolly,director,-0.37,-0.5204078941289055,-0.19416335066776708,-0.4651949110440913,1,12222710.147933997,-0.6182837884253553,1
597,597,597,nm0175730,1,9.798003333333334,David Worth,director,0.99,-0.5204078941289055,0.4902511385017581,1.5292414339208362,1,3655044.5188596128,-0.7962075817236726,1
598,598,598,nm0175775,1,0.5394668142857143,Kerry Conran,director,-0.27,-0.5204078941289055,-0.1864781082843538,-0.31854517979667013,1,112920070.50723077,1.4728874950867086,2
599,599,599,nm0176905,1,0.4509515125,Barry Cook,director,-0.35,-0.5204078941289055,-0.1929479097895115,-0.435864964794607,1,105432176.196362,1.3173871969558404,2
600,600,600,nm0177170,1,0.9160014625,Lorna Cook,director,-0.04,-0.5204078941289055,-0.15895626308228525,0.018749202072398524,1,135843102.92321697,1.948927650938727,2
601,601,601,nm0177637,1,2.8444855,Greg Coolidge,director,0.45,-0.5204078941289055,-0.01799861308527901,0.7373328851847623,1,15220492.186526507,-0.5560291703205209,1
602,602,602,nm0177896,1,5.981475611111111,Bradley Cooper,director,0.78,-0.5204078941289055,0.21129172353544592,1.221276998301252,1,44001756.53256239,0.041668259769494356,1
603,603,603,nm0178376,4,1.733738392533044,Scott Cooper,director,0.24,0.7457226732655758,-0.09918585599991694,0.4293684495651777,0,43042595.95095946,0.021749474834437236,1
604,604,604,nm0178886,1,0.767732,Gia Coppola,director,-0.11,-0.5204078941289055,-0.16979364342555878,-0.08390560980079628,1,1317902.202454525,-0.8447427655667112,1
605,605,605,nm0178997,5,2.3596341926772384,Frank Coraci,director,0.37,1.1677661957304029,-0.05343758978886125,0.6200131001868252,0,78513396.9007996,0.7583677941708484,2
606,606,606,nm0179221,3,1.0219328361111113,Anton Corbijn,director,0.01,0.3236791508007487,-0.15121347797500787,0.09207406769610911,0,18997856.17781385,-0.47758505740864426,1
607,607,607,nm0179697,1,1.4451738,Ericson Core,director,0.16,-0.5204078941289055,-0.12027775307806507,0.31204866456724084,1,60881968.74610603,0.3922178165265011,1
608,608,608,nm0180257,1,7.807586428571429,John Cornell,director,0.89,-0.5204078941289055,0.34476666263683764,1.3825917026734151,1,35682981.28945343,-0.13108685357518704,1
609,609,609,nm0180428,2,0.1816861766623207,Joe Cornish,director,-0.74,-0.09836437166407844,-0.21262917664331296,-1.0077989166595496,1,44089001.75806552,0.04348007201109339,1
610,610,610,nm0180912,2,0.5502482142857144,Michael Corrente,director,-0.26,-0.09836437166407844,-0.1856900691934792,-0.303880206671928,1,12241782.204233576,-0.6178877210775232,1
611,611,611,nm0181579,2,0.2641442147293435,Rodrigo Cortés,director,-0.59,-0.09836437166407844,-0.2066021154681741,-0.7878243197884178,1,13230956.926292486,-0.597345635706418,1
612,612,612,nm0181741,3,2.159368533333333,Don Coscarelli,director,0.33,0.3236791508007487,-0.0680755002756977,0.5613532076878568,0,8354953.759268721,-0.6986050705596433,1
613,613,613,nm0181902,4,1.922953043030303,George P. Cosmatos,director,0.28,0.7457226732655758,-0.08535569097886035,0.48802834206414625,0,82873613.54335608,0.8489159455848659,2
614,614,614,nm0181903,1,0.2056156666666666,Panos Cosmatos,director,-0.68,-0.5204078941289055,-0.21088011125773054,-0.919809077911097,1,7333626.088760398,-0.7198148727630245,1
615,615,615,nm0183183,1,124.27788037634409,William Cottrell,director,2.09,-0.5204078941289055,8.85786742473665,3.142388477642469,4,31647376.174192835,-0.2148938322141084,4
616,616,616,nm0184947,2,0.5230241764705882,C. Jay Cox,director,-0.28,-0.09836437166407844,-0.18767994119616604,-0.33321015292141226,1,1073736.2340193535,-0.849813334048156,1
617,617,617,nm0185063,1,0.1928203636363636,James Cox,director,-0.72,-0.5204078941289055,-0.21181535148325464,-0.9784689704100653,1,9165076.865526168,-0.6817813308918859,1
618,618,618,nm0187091,1,6.24254,Patrick Creadon,director,0.8,-0.5204078941289055,0.23037356297000355,1.2506069445507362,1,761024.6093263254,-0.8563073828220779,1
619,619,619,nm0188165,1,0.6359315769230769,Michael Cristofer,director,-0.19,-0.5204078941289055,-0.17942726109844256,-0.2012253947987332,1,45208584.652846605,0.06673032991977905,1
620,620,620,nm0188521,1,1.176848,Emma-Kate Croghan,director,0.07,-0.5204078941289055,-0.1398903469425174,0.18006390644456183,1,484603.91976230213,-0.8620477816381182,1
621,621,621,nm0190780,1,3.29089768,Gabor Csupo,director,0.52,-0.5204078941289055,0.014630753090037644,0.839987697057957,1,36552574.895596795,-0.11302809641408323,1
622,622,622,nm0190859,3,1.6278119999570606,Alfonso Cuarón,director,0.21,0.3236791508007487,-0.10692827703106378,0.3853735301909514,0,156784561.75272354,2.3838166806298737,2
623,623,623,nm0191147,3,0.8974898074074075,Michael Cuesta,director,-0.05,0.3236791508007487,-0.16030932556487112,0.004084228947656408,0,28740166.614903316,-0.2752675413545062,1
624,624,624,nm0191712,1,4.588622090909091,R.J. Cutler,director,0.66,-0.5204078941289055,0.10948462781675275,1.0452973208043466,1,14381869.272817232,-0.5734447624332306,1
625,625,625,nm0191717,2,0.909088437254902,Jill Culton,director,-0.04,-0.09836437166407844,-0.15946155313082627,0.018749202072398524,1,109491747.76023766,1.4016918842629211,2
626,626,626,nm0192090,2,1.42851665,Rusty Cundieff,director,0.16,-0.09836437166407844,-0.12149526521401795,0.31204866456724084,1,12596661.201646121,-0.6105179869964833,1
